File  .text     Size         Crate Name
0.0%   0.0%      14B           std core::fmt::builders::DebugSet::entry
0.0%   0.0%      14B           std core::ptr::drop_in_place
0.0%   0.0%      13B           std std::io::impls::<impl std::io::Write for alloc::boxed::Box<W>>::is_write_vectored
0.0%   0.0%      13B           std core::ptr::drop_in_place
0.0%   0.0%      12B           std panic_unwind::real_imp::find_eh_action::{{closure}}
0.0%   0.0%      12B           std panic_unwind::real_imp::find_eh_action::{{closure}}
0.0%   0.0%      12B           std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%      12B           std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%      11B           std core::fmt::ArgumentV1::from_usize
0.0%   0.0%      11B           std <T as core::any::Any>::type_id
0.0%   0.0%      11B           std std::error::Error::type_id
0.0%   0.0%      11B           std <T as core::any::Any>::type_id
0.0%   0.0%      11B           std <T as core::any::Any>::type_id
0.0%   0.0%      11B           std <T as core::any::Any>::type_id
0.0%   0.0%      10B           std core::clone::impls::<impl core::clone::Clone for usize>::clone
0.0%   0.0%      10B           std std::sys::unix::process::process_common::ExitCode::as_i32
0.0%   0.0%       9B           std core::str::Utf8Error::error_len
0.0%   0.0%       9B           std core::fmt::Formatter::debug_upper_hex
0.0%   0.0%       9B           std core::fmt::Formatter::debug_lower_hex
0.0%   0.0%       9B           std core::fmt::Formatter::alternate
0.0%   0.0%       9B           std <&mut W as core::fmt::Write>::write_str
0.0%   0.0%       9B           std alloc::alloc::handle_alloc_error
0.0%   0.0%       9B           std rustc_demangle::Demangle::as_str
0.0%   0.0%       9B           std <backtrace::print::BacktraceFrameFmt as core::ops::drop::Drop>::drop
0.0%   0.0%       9B           std std::sys::unix::abort_internal
0.0%   0.0%       9B           std core::ptr::drop_in_place
0.0%   0.0%       9B           std <&T as core::fmt::UpperHex>::fmt
0.0%   0.0%       9B           std <&T as core::fmt::Display>::fmt
0.0%   0.0%       8B           std __udivti3
0.0%   0.0%       8B           std <&T as core::fmt::Debug>::fmt
0.0%   0.0%       8B           std core::panic::PanicInfo::payload
0.0%   0.0%       8B           std __rdos_backtrace_free
0.0%   0.0%       8B           std std::process::abort
0.0%   0.0%       8B           std <std::sys_common::wtf8::Wtf8Buf as core::ops::deref::Deref>::deref
0.0%   0.0%       8B           std <&mut W as core::fmt::Write>::write_str
0.0%   0.0%       8B           std <&mut W as core::fmt::Write>::write_str
